Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Kamburugamuwa,10 Perches,,"3,500,000","49,729"
House For Sale In Panadura,"Beds-2, Baths-2 Size-1850sqft",,"19,500,000","277,062"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Biyagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Kahathuduwa,24 Perches,,"9,360,000","132,990"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
House For Sale In Panadura,"Beds-2, Baths-1 Size-1800sqft",,"19,500,000","277,062"
Land For Sale In Meegoda,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Meegoda,10 Perches,,"3,750,000","53,281"
House For Rent In Kadawatha,"Beds-4, Baths-2 Size-2500sqft",,,"45,000"
Land For Sale In Padukka,10 Perches,,"1,900,000","26,996"
Land For Sale In Homagama,11 Perches,,"4,950,000","70,331"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
Land For Sale In Athurugiriya,6 Perches,,"7,500,000","106,562"
House For Sale In Katana,"Beds-2, Baths-1 Size-1200sqft",,"8,500,000","120,771"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-2500sqft",,"32,500,000","461,770"
Land For Sale In Ja-Ela,25 Perches,,"42,500,000","603,853"
Room For Rent In Colombo 05,"Beds-2, Baths-2",,,"9,000"
Land For Sale In Godagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Hokandara,3.9 Perches,,"3,500,000",
Land For Sale In Katunayake,5 Acres,,"8,000,000","113,666"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land With Half Built House For Sale In Unawatuna,10 Perches,,"4,500,000","63,937"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
House For Sale In Narammala,"Beds-2, Baths-1 Size-1500sqft",,"1,500,000","21,312"
Land For Sale In Thalagala,30 Perches,,"15,750,000","223,781"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-2000sqft",,"23,500,000","333,895"
House For Sale In Pannipitiya,"Beds-3, Baths-4 Size-2178sqft",,"29,000,000","412,041"
House For Sale In Hokandara,"Beds-3, Baths-1 Size-1450sqft",,"23,000,000","326,791"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
House For Sale In Pannipitiya,"Beds-3, Baths-4 Size-2178sqft",,"29,000,000","412,041"
House For Sale In Ragama,"Beds-3, Baths-1 Size-sqft",,"13,500,000","191,812"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2722sqft",,"23,000,000","326,791"
House For Sale In Piliyandala,"Beds-4, Baths-2 Size-4083sqft",,"35,000,000","497,290"
House For Sale In Talawatugoda,"Beds-3, Baths-10 Size-7000sqft",,"330,000,000","4,688,738"
House For Sale In Piliyandala,"Beds-4, Baths-2 Size-4083sqft",,"35,000,000","497,290"
House For Sale In Narammala,"Beds-4, Baths-2 Size-1500sqft",,"18,000,000","255,749"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-2722sqft",,"33,000,000","468,874"
House For Sale In Polgasowita,"Beds-3, Baths-2 Size-2586sqft",,"33,000,000","468,874"
House For Sale In Weeraketiya,"Beds-3, Baths-2 Size-sqft",,"14,000,000","198,916"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Pannipitiya,"Beds-3, Baths-3 Size-2780sqft",,"52,500,000","745,936"
House For Sale In Kesbewa,"Beds-5, Baths-6 Size-2900sqft",,"44,600,000","633,690"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"31,500,000","447,561"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-1633sqft",,"25,000,000","355,207"
House For Sale In Mattegoda,"Beds-4, Baths-4 Size-3900sqft",,"70,000,000","994,581"
House For Sale In Piliyandala,"Beds-5, Baths-5 Size-3600sqft",,"59,000,000","838,289"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-1992sqft",,"24,500,000","348,103"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Apartment For Sale In Nugegoda,"Beds-4, Baths-3 Size-1650sqft",,"35,000,000","497,290"
House For Sale In Mattegoda,"Beds-4, Baths-3 Size-3300sqft",,"44,500,000","632,269"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
House For Sale In Athurugiriya,"Beds-4, Baths-4 Size-1769sqft",,"36,500,000","518,603"
House For Sale In Makola,"Beds-5, Baths-3 Size-4200sqft",,"60,000,000","852,498"
House For Sale In Malabe,"Beds-5, Baths-2 Size-2600sqft",,"35,000,000","497,290"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2300sqft",,"27,000,000","383,624"
House For Sale In Hokandara,"Beds-4, Baths-3 Size-2850sqft",,"31,500,000","447,561"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-2000sqft",,"23,500,000","333,895"
House For Sale In Ganemulla,"Beds-4, Baths-2 Size-3000sqft",,"10,500,000","149,187"
House For Sale In Colombo 13,"Beds-6, Baths-3 Size-680.62sqft",,"45,000,000","639,373"
Land For Sale In Dalugama,12.3 Perches,,"17,220,000","244,667"
House For Sale In Kirillawala,"Beds-4, Baths-1 Size-2000sqft",,"12,500,000","177,604"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2000sqft",,"31,000,000","440,457"
Factory For Sale In Wellawa,3800sqft,,"18,000,000","269,958"
House For Sale In Boyagane,"Beds-3, Baths-1 Size-1800sqft",,"11,500,000","163,395"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
House For Sale In Negombo,"Beds-3, Baths-1 Size-8000sqft",,,
House For Sale In Kurunegala,"Beds-3, Baths-1 Size-1600sqft",,"10,000,000","142,083"
House For Sale In Peradeniya,"Beds-6, Baths-3 Size-2500sqft",,,
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Wellawa,26 Perches,,"36,000,000","511,499"
Land With House For Sale In Makulewa,7 Acres,,,
Land For Sale In Sooriyawewa Town,40 Perches,,,
Land For Sale In Matara,147 Perches,,,
House For Sale In Eppawala,"Beds-3, Baths-1 Size-3000sqft",,"4,500,000","63,937"
Luxury Apartment For Sale In Athurugiriya,"Beds-3, Baths-3 Size-1200sqft",,,
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-2722sqft",,"30,000,000","426,249"
House For Sale In Panadura,"Beds-4, Baths-2 Size-sqft",,"20,000,000","284,166"
Room For Rent In Maharagama,"Beds-1, Baths-1",,,"18,000"
Land For Sale In Kirindiwela,10 Perches,,"2,750,000","39,073"
House For Sale In Makola,"Beds-3, Baths-1 Size-1800sqft",,"6,000,000","85,250"
Land For Sale In Matugama,10 Perches,,"5,750,000","81,698"
Land For Sale In Kurunegala,13.3 Perches,,"13,965,000","198,419"
House For Sale In Dehiwala,"Beds-3, Baths-1 Size-1000sqft",,"49,500,000","703,311"
House For Sale In Pelawatta,"Beds-4, Baths-4 Size-sqft",,,
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
House For Sale In Homagama,"Beds-4, Baths-3 Size-2250sqft",,"29,500,000","419,145"
House For Sale In Delgoda,"Beds-2, Baths-1 Size-sqft",,,
Land For Sale In Embilipitiya,5.5 Acres,,,
Land For Sale In Kamburugamuwa,20 Perches,,,
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
Land For Sale In Minuwangoda,160 Acres,,,
House For Sale In Athurugiriya,"Beds-3, Baths-1 Size-sqft",,"14,000,000","198,916"
House For Sale In Piliyandala,"Beds-5, Baths-6 Size-4700sqft",,,
Apartment For Sale In Homagama,"Beds-3, Baths-2 Size-sqft",,,
House For Sale In Ganemulla,"Beds-2, Baths-1 Size-sqft",,,
House For Sale In Kadawatha,"Beds-5, Baths-2 Size-sqft",,,
House For Rent In Athurugiriya,"Beds-3, Baths-1 Size-1200sqft",,,"31,000"
House For Sale In Ja-Ela,"Beds-2, Baths-1 Size-sqft",,"5,200,000","73,883"
Land For Sale In Kadawatha,31 Perches,,"1,250,000","17,760"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1664sqft",,"25,000,000","355,207"
House For Sale In Ganemulla,"Beds-2, Baths-1 Size-sqft",,"8,000,000","113,666"
Land For Sale In Benthara,138 Perches,,"20,700,000","294,112"
Land For Sale In Kirillawala,9.5 Perches,,"4,500,000","63,937"
Room For Rent In Battaramulla,"Beds-1, Baths-1",,,"15,000"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-sqft",,,
Land For Sale In Nittambuwa,10 Perches,,"3,500,000","49,729"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Kiribathgoda,"Beds-3, Baths-1 Size-sqft",,"11,000,000","156,291"
House For Sale In Negombo,"Beds-5, Baths-2 Size-sqft",,"16,000,000","227,333"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land With House For Sale In Narammala,56 Perches,,"15,400,000","218,808"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-800sqft",,"7,500,000","106,562"
Land For Sale In Piliyandala,11.7 Perches,,"12,500,000","177,604"
House For Sale In Kandy,"Beds-5, Baths-3 Size-3200sqft",,"39,000,000","554,124"
House For Sale In Kandy,"Beds-5, Baths-7 Size-4184sqft",,"70,000,000","994,581"
Land For Sale In Kandy,12 Perches,,"11,400,000","161,975"
House For Sale In Minuwangoda,"Beds-2, Baths-1 Size-1000sqft",,"5,600,000","79,566"
House For Sale In Nugegoda,"Beds-7, Baths-5 Size-4000sqft",,"85,000,000","1,207,705"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1250sqft",,"22,500,000","319,687"
House For Sale In Battaramulla,"Beds-4, Baths-4 Size-3800sqft",,"75,000,000","1,065,622"
Home For Sale In Hokandara,"Beds-4, Baths-2 Size-3250sqft",,"27,000,000","383,624"
House For Sale In Kandy,"Beds-8, Baths-8 Size-4200sqft",,"75,000,000","1,065,622"
Land For Sale In Nittambuwa,32 Perches,,"9,600,000","136,400"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-2900sqft",,"37,000,000","525,707"
Land For Sale In Kadawatha,13 Perches,,"12,000,000","170,500"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2300sqft",,"27,000,000","383,624"
House For Sale In Kelaniya,"Beds-4, Baths-2 Size-sqft",,"27,500,000","390,728"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
Land For Sale In Ukuwela,19 Perches,,,
House For Sale In Madampe,"Beds-5, Baths-1 Size-10890sqft",,"20,000,000","284,166"
Room For Rent In Maharagama,"Beds-1, Baths-1",,,"15,000"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-sqft",,"12,500,000","177,604"
House For Sale In Kelaniya,"Beds-8, Baths-3 Size-4000sqft",,"42,000,000","596,748"
House For Sale In Kandy,"Beds-3, Baths-4 Size-3215sqft",,"75,000,000","1,065,622"
Land For Sale In Wadduwa,11.3 Perches,,"3,955,000","56,194"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
House For Sale In Delgoda,"Beds-2, Baths-1 Size-sqft",,"19,500,000","277,062"
House For Sale In Deltara,"Beds-6, Baths-6 Size-4000sqft",,"45,000,000","639,373"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Ampitiya,"Beds-4, Baths-3 Size-3150sqft",,"39,000,000","554,124"
Land For Sale In Gunnepana,13 Perches,,"9,500,000","134,979"
Land For Sale In Hapugala,10 Perches,,"4,200,000","59,675"
House For Sale In Kandy,"Beds-3, Baths-2 Size-1500sqft",,"39,000,000","554,124"
Land For Sale In Panadura,6 Perches,,,
Apartment For Sale In Colombo 02,"Beds-2, Baths-2 Size-756sqft",,,
House For Sale In Kandy,"Beds-3, Baths-1 Size-1800sqft",,"27,000,000","383,624"
Apartment For Sale In Colombo 05,"Beds-3, Baths-2 Size-1740sqft",,,
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Rent In Kiribathgoda,"Beds-1, Baths-1 Size-350sqft",,,"20,000"
House For Sale In Panadura,"Beds-3, Baths-2 Size-2000sqft",,"12,000,000","170,500"
House For Sale In Kesbewa,"Beds-1, Baths-1 Size-2200sqft",,"27,500,000","390,728"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-3300sqft",,"100,000,000","1,420,830"
Annex For Rent In Moratuwa,"Beds-2, Baths-1",,,"10,000"
Land For Sale In Ja-Ela,11 Perches,,"10,450,000","148,477"
Land For Sale In Homagama,9.8 Perches,,"5,782,000","82,152"
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-2460sqft",,"48,000,000","681,998"
House For Sale In Gonapola Junction,"Beds-2, Baths-1 Size-1000sqft",,,
Land For Sale In Wewaldeniya,2240 Perches,,"672,000,000","9,547,975"
House With Land For Sale In Gampola,"Beds-5, Baths-1 Size-2244sqft",,"17,500,000","248,645"
Land For Sale In Matara,150 Perches,,,
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-3000sqft",,"42,000,000","596,748"
House For Sale In Kottawa,"Beds-5, Baths-3 Size-3300sqft",,"36,000,000","511,499"
House For Sale In Kelaniya,"Beds-5, Baths-6 Size-4700sqft",,"69,500,000","987,477"
House For Sale In Mirigama,"Beds-2, Baths-1 Size-sqft",,"3,500,000","49,729"
Holiday Bungalow For Sale In Piliyandala,"Beds-4, Baths-3",,"42,000,000","596,748"
House For Sale In Kirindiwela,"Beds-4, Baths-2 Size-sqft",,"13,000,000","184,708"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
Holiday Bungalow For Rent In Ampitiya,"Beds-3, Baths-2",,,
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Divulapitiya,"Beds-3, Baths-1 Size-2100sqft",,"18,500,000","262,853"
House For Sale In Veyangoda,"Beds-3, Baths-2 Size-2100sqft",,"9,500,000","134,979"
House For Sale In Kandy,"Beds-2, Baths-1 Size-1800sqft",,"7,500,000","106,562"
Land For Sale In Dunagaha,15.7 Perches,,"3,500,000","49,729"
Land For Sale In Katana,10 Perches,,"3,500,000","49,729"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-1950sqft",,"16,500,000","234,437"
Land For Sale In Kurunegala,253 Perches,,"88,550,000","1,258,145"
House For Sale In Kundasale,"Beds-3, Baths-3 Size-2700sqft",,"45,000,000","639,373"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
Land For Sale In Kalagedihena,18 Perches,,"4,000,000","63,937"
Land For Sale In Athurugiriya,6.72 Perches,,"4,636,800","65,881"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1769sqft",,"33,000,000","468,874"
House For Sale In Kottawa,"Beds-5, Baths-2 Size-2300sqft",,"29,500,000","419,145"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
House For Sale In Hunnadeniya,"Beds-4, Baths-2 Size-2000sqft",,,
House For Sale In Kurunegala,"Beds-5, Baths-2 Size-sqft",,"7,500,000","106,562"
House For Sale In Kurunegala,"Beds-5, Baths-2 Size-sqft",,"34,000,000","483,082"
Land For Sale In Veyangoda,16 Perches,,"5,120,000","72,746"
House For Sale In Gothatuwa,"Beds-7, Baths-3 Size-2460sqft",,"35,000,000","497,290"
House For Rent In Kadawatha,"Beds-4, Baths-2 Size-2000sqft",,,"70,000"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Beruwala,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
House For Rent In Habaraduwa,"Beds-3, Baths-1 Size-1500sqft",,,"25,000"
Land For Sale In Kamburugamuwa,20 Perches,,,
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Kiribathgoda,"Beds-5, Baths-3 Size-4200sqft",,"60,000,000","852,498"
House With Land For Sale In Mihintale,"Beds-2, Baths-1 Size-2000sqft",,"2,650,000","37,652"
Land For Sale In Kuliyapitiya,1.5 Acres,,"11,000,000","156,291"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
Factory For Sale In Piliyandala,4000sqft,,"37,000,000","525,707"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Yatiyana,4 Acres,,"16,000,000","227,333"
Land For Sale In Kapuduwa,80 Perches,,"4,800,000","68,200"
House For Sale In Kundasale,"Beds-4, Baths-3 Size-sqft",,"46,900,000","666,369"
House For Sale In Kandy,"Beds-5, Baths-2 Size-sqft",,"45,000,000","639,373"
House For Sale In Kandy,"Beds-2, Baths-1 Size-sqft",,"7,800,000","110,825"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Hotel For Sale In Hatton,25024sqft,,,
House For Sale In Gampola,"Beds-4, Baths-2 Size-4000sqft",,"8,000,000","113,666"
Commercial Building For Sale In Gampola,1600sqft,,"70,000,000","994,581"
Land For Sale In Mawilmada,13 Perches,,"36,400,000","517,182"
Land For Sale In Kiribathkubura,13 Perches,,"13,000,000","184,708"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Haragama,17.5 Perches,,"10,062,500","142,971"
Land For Sale In Kandy,35 Perches,,"98,000,000","1,392,413"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Panadura,6.2 Perches,,"4,185,000","59,462"
Hotel For Sale In Negombo,sqft,,,
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Homagama,6 Perches,,"4,050,000","57,544"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Biyagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Katunayake,17.9 Perches,,"9,487,000","134,794"
Land For Sale In Kalubowila B-5943,9 Perches,,"4,500,000","63,937"
House For Rent In Homagama,"Beds-2, Baths-1 Size-658sqft",,,"23,000"
Land For Sale In Anuradhapura,80 Perches,,"7,600,000","107,983"
House For Rent In Mawanella,"Beds-2, Baths-1 Size-2800sqft",,,
House For Sale In Gonapola,"Beds-3, Baths-2 Size-1000sqft",,"6,500,000","92,354"
Land For Sale In Ratnapura,8.75 Perches,,"7,500,000","106,562"
House For Sale In Horana,"Beds-3, Baths-1 Size-1500sqft",,"3,500,000","49,729"
Land For Sale In Horana,20 Perches,,"3,000,000","42,625"
House For Sale In Ranna,"Beds-3, Baths-1 Size-1500sqft",,,
House For Sale In Tangalla,"Beds-3, Baths-1 Size-1500sqft",,"6,000,000","85,250"
Land For Sale In Ranna,1 Acres,,"3,200,000","45,467"
House For Sale In Tangalla,"Beds-3, Baths-1 Size-1500sqft",,"5,500,000","78,146"
House For Rent In Weliveriya,"Beds-2, Baths-2 Size-1012sqft",,,"23,000"
Land For Sale In Tangalla,4.5 Acres,,"11,000,000",
Land With House For Sale In Biyagama,25 Perches,,,
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
Half Built House For Sale In Ranna,"Beds-2, Baths-1 Size-1000sqft",,,
House For Sale In Ranna,"Beds-3, Baths-1 Size-2000sqft",,"7,000,000","99,458"
House For Rent In Kelaniya,"Beds-2, Baths-1 Size-1000sqft",,,"30,000"
House For Sale In Angunakolapelessa,"Beds-2, Baths-1 Size-1000sqft",,,
House For Sale In Netolpitiya,"Beds-2, Baths-1 Size-1000sqft",,,
House For Sale In Horana,"Beds-3, Baths-1 Size-1500sqft",,"15,500,000","220,229"
House For Sale In Tangalla,"Beds-3, Baths-2 Size-1500sqft",,"14,000,000","198,916"
House For Sale In Ranna,"Beds-2, Baths-1 Size-1000sqft",,,
Land For Sale In Middeniya,5 Acres,,"17,500,000","248,645"
Land For Sale In Ambalantota,7 Acres,,"17,500,000","248,645"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-sqft",,"9,500,000","134,979"
Land For Sale In Beliatta,10 Acres,,"3,000,000","42,625"
Land For Sale In Aparekka,30 Acres,,,
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-sqft",,"16,900,000","240,120"
House For Sale In Minuwangoda,"Beds-4, Baths-2 Size-sqft",,"26,000,000","369,416"
House For Sale In Padukka,"Beds-3, Baths-1 Size-1400sqft",,"25,000,000",
House For Sale In Netolpitiya,"Beds-2, Baths-1 Size-1000sqft",,"1,600,000","22,733"
House For Sale In Nugegoda,"Beds-10, Baths-6 Size-2600sqft",,"50,000,000","710,415"
House With Land For Sale In Tangalla,"Beds-2, Baths-1 Size-1500sqft",,"63,000,000","895,123"
Land For Sale In Yatiyana,4 Acres,,"16,000,000","227,333"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Dodangoda,10 Perches,,"5,750,000","81,698"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land With House For Sale In Dehiwala - Code 3789,19.4 Perches,,"116,400,000","1,653,846"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Awulegama,1 Acres,,"12,000,000","170,500"
Land For Sale In Attanagalla,10 Perches,,"2,750,000","39,073"
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
Land For Sale In Colombo 05,15 Perches,,"27,000,000","383,624"
Room For Rent In Homagama,"Beds-2, Baths-1",,,"7,500"
Land For Sale In Yakkala,15 Perches,,"3,200,000","45,467"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,"69,000,000","980,372"
Land For Sale In Padukka,10 Perches,,"1,900,000","26,996"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Kiriwattuduwa,10 Perches,,"4,500,000","63,937"
Land For Sale In Homagama,6 Perches,,"5,700,000","80,987"
House For Rent In Welisara,"Beds-4, Baths-2 Size-2000sqft",,,"65,000"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
House For Sale In Kottawa,"Beds-4, Baths-2 Size-2600sqft",,"60,000,000","852,498"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
Land For Sale In Harankahawa,66 Perches,,"6,500,000","92,354"
Land For Sale In Piliyandala,32.75 Perches,,"63,862,500","907,377"
Land For Sale In Kadawatha,12 Perches,,"9,300,000","132,137"
Room For Rent In Rajagiriya,"Beds-1, Baths-1",,,"12,000"
Land For Sale In Wadduwa,23 Perches,,"8,050,000","114,377"
House For Sale In Negombo,"Beds-4, Baths-2 Size-1855sqft",,"42,500,000","603,853"
House For Sale In Kalutara,"Beds-4, Baths-3 Size-1700sqft",,"22,000,000","312,583"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-3000sqft",,"26,500,000","376,520"
House For Sale In Panadura,"Beds-4, Baths-1 Size-2200sqft",,"12,500,000","177,604"
Land For Sale In Veyangoda,43 Perches,,"4,300,000","61,096"
Land For Sale In Batuwatta,7.75 Perches,,"5,812,500","82,586"
Room For Rent In Kolonnawa,"Beds-1, Baths-1",,,"12,000"
Building For Rent In Nugegoda,450sqft,,,"110,000"
Double Room For Rent In Ella,"Beds-1, Baths-1",,,"4,500"
House For Sale In Kirillawala,"Beds-3, Baths-2 Size-1500sqft",,"18,000,000","255,749"
Land For Sale In Kirillawala,16 Perches,,"6,720,000","95,480"
Land For Sale In Millewa,15 Perches,,"1,950,000","27,706"
Land For Sale In Kuliyapitiya,10.4 Perches,,"70,000,000","994,581"
Land For Sale In Ginigathena,236 Perches,,"14,000,000","198,916"
Land For Sale In Nawala,6 Perches,,"30,000,000","426,249"
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
Room For Rent In Malabe,"Beds-1, Baths-1",,,"35,000"
House For Sale In Getahetta,"Beds-4, Baths-2 Size-2000sqft",,"6,500,000","92,354"
Land For Sale In Biyagama,10 Perches,,"4,000,000","56,833"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
